timestamp,event_type,order_id,side,quantity,price,trader_id,target_order_id,symbol
0.001,limit,L00000001,buy,227.0,99.98,MM01,,SYNTH
0.002,limit,L00000002,sell,193.0,100.02,MM01,,SYNTH
0.003,limit,L00000003,buy,235.0,99.97,MM02,,SYNTH
0.004,limit,L00000004,sell,219.0,100.03,MM02,,SYNTH
0.005,limit,L00000005,buy,159.0,99.96,MM03,,SYNTH
0.006,limit,L00000006,sell,247.0,100.04,MM03,,SYNTH
0.007,limit,L00000007,buy,226.0,99.95,MM04,,SYNTH
0.008,limit,L00000008,sell,228.0,100.05,MM04,,SYNTH
0.009000000000000001,limit,L00000009,buy,162.0,99.94,MM05,,SYNTH
0.010000000000000002,limit,L00000010,sell,195.0,100.06,MM05,,SYNTH
0.011000000000000003,limit,L00000011,buy,187.0,99.93,MM06,,SYNTH
0.012000000000000004,limit,L00000012,sell,242.0,100.07,MM06,,SYNTH
0.013000000000000005,limit,L00000013,buy,214.0,99.92,MM07,,SYNTH
0.014000000000000005,limit,L00000014,sell,232.0,100.08,MM07,,SYNTH
0.015000000000000006,limit,L00000015,buy,194.0,99.91,MM08,,SYNTH
0.016000000000000007,limit,L00000016,sell,172.0,100.09,MM08,,SYNTH
0.017000000000000008,limit,L00000017,buy,205.0,99.9,MM09,,SYNTH
0.01800000000000001,limit,L00000018,sell,156.0,100.1,MM09,,SYNTH
0.01900000000000001,limit,L00000019,buy,232.0,99.89,MM10,,SYNTH
0.02000000000000001,limit,L00000020,sell,213.0,100.11,MM10,,SYNTH
0.02100000000000001,limit,L00000021,buy,225.0,99.88,MM11,,SYNTH
0.022000000000000013,limit,L00000022,sell,185.0,100.12,MM11,,SYNTH
0.023000000000000013,limit,L00000023,buy,247.0,99.87,MM12,,SYNTH
0.024000000000000014,limit,L00000024,sell,239.0,100.13,MM12,,SYNTH
0.025000000000000015,limit,L00000025,buy,227.0,99.86,MM13,,SYNTH
0.026000000000000016,limit,L00000026,sell,169.0,100.14,MM13,,SYNTH
0.027000000000000017,limit,L00000027,buy,196.0,99.85,MM14,,SYNTH
0.028000000000000018,limit,L00000028,sell,154.0,100.15,MM14,,SYNTH
0.02900000000000002,limit,L00000029,buy,165.0,99.84,MM15,,SYNTH
0.03000000000000002,limit,L00000030,sell,218.0,100.16,MM15,,SYNTH
0.049434011807991084,limit,L00000031,buy,40.0,99.95,T12,,SYNTH
0.11611913305958527,market,M00000032,sell,70.0,,TAKER03,,SYNTH
0.12440592842466518,market,M00000033,sell,46.0,,TAKER06,,SYNTH
0.14247303957141083,market,M00000034,sell,72.0,,TAKER07,,SYNTH
0.19464761367024103,market,M00000035,buy,18.0,,TAKER05,,SYNTH
0.24088872542637974,market,M00000036,sell,47.0,,TAKER04,,SYNTH
0.2467728413301341,limit,L00000037,buy,94.0,100.03,T12,,SYNTH
0.26323495113016937,limit,L00000038,buy,27.0,99.98,T12,,SYNTH
0.36555656738682624,limit,L00000039,buy,28.0,99.98,T04,,SYNTH
0.37495151713735037,market,M00000040,sell,37.0,,TAKER06,,SYNTH
0.38349901366028166,limit,L00000041,buy,119.0,99.99,T12,,SYNTH
0.3857910845115872,limit,L00000042,sell,55.0,100.05,T15,,SYNTH
0.4194708934173693,cancel,C00000043,,,,T14,L00000006,SYNTH
